CustomerID,BirthDate,SSN,AccountID,AccountOpened,AccountType
0,1980,629-23-7357,39.0,1995-01-06,cd
1,no date,753-50-5099,61.0,2092-10-23,checking
2,1991-06-02,563-08-3960,,1998-09-18,checking
3,1980-01-03,349-06-4344,97.0,2033-03-26,cd
4,1958-02-05,271-52-0669,44.0,1976-10-26,savings
5,1962-03-28,565-79-9061,34.0,1973-02-06,cd
6,1988-10-13,925-20-5614,34.0,1991-02-11,cd
7,1973-12-18,826-91-6889,88.0,2045-01-30,checking
8,1976-10-28,379-95-4640,33.0,1990-08-04,cd
9,1989-09-18,967-45-9772,5.0,2044-12-15,cd
10,1965-11-13,685-77-0617,36.0,2030-10-03,checking
11,1998-11-21,005-68-8182,0.0,2065-10-17,cd
12,2014-09-29,142-61-9765,75.0,2034-04-29,savings
13,1970-03-02,885-12-2493,34.0,2024-02-22,checking
14,1973-02-17,990-13-1795,69.0,2040-10-05,savings
15,2011-04-16,618-43-3185,53.0,2072-05-19,cd
16,1960-04-20,622-20-8872,80.0,1984-04-23,savings
17,2022-08-21,746-70-1728,62.0,2082-12-20,savings
18,2019-07-10,510-27-8884,8.0,2021-09-21,checking
19,1994-05-31,456-95-5387,61.0,2009-04-26,savings
20,2001-07-11,965-79-8651,1.0,2054-08-30,savings
21,1954-06-23,082-43-4169,81.0,1999-08-22,savings
22,1993-07-28,945-46-0550,35.0,1998-12-16,cd
23,1952-08-31,221-51-2149,91.0,1999-04-21,checking
24,2007-01-30,928-03-3055,40.0,2018-12-11,savings
25,1977-12-20,687-94-0109,36.0,1981-10-04,savings
26,1980-07-19,163-17-0119,48.0,2016-11-25,checking
27,2017-11-02,172-13-2024,25.0,2055-10-21,savings
28,2023-12-11,573-21-5896,67.0,2024-02-12,cd
29,1987-11-07,506-87-2399,35.0,1998-10-19,checking
30,1956-08-15,767-80-5714,30.0,1967-07-17,savings
31,1985-03-01,551-69-7960,29.0,2036-11-14,cd
32,1986-04-04,581-85-6694,33.0,2040-09-27,savings
33,1959-06-18,441-79-4767,18.0,1994-10-03,cd
34,2011-09-29,207-37-1019,17.0,2063-11-30,savings
35,2010-10-16,396-74-2822,93.0,2048-05-20,cd
36,1967-11-09,300-49-7007,84.0,1974-05-23,savings
37,2011-12-13,446-87-7021,2.0,2084-05-07,cd
38,2016-01-21,390-29-5545,69.0,2075-09-06,cd
39,1974-12-24,222-54-9121,12.0,1984-05-26,cd
40,1977-11-14,319-22-4543,44.0,1999-10-20,cd
41,2013-04-22,144-41-8678,66.0,2086-10-26,checking
42,1989-01-10,657-99-2492,91.0,2026-02-02,cd
43,2002-06-28,940-43-3624,85.0,2052-09-20,cd
44,2014-11-21,653-27-8589,39.0,2030-09-01,cd
45,1961-10-15,304-93-0840,39.0,2014-09-27,cd
46,2002-01-02,779-18-6243,75.0,2022-04-03,checking
47,1965-02-22,950-31-5986,22.0,1975-10-26,savings
48,2013-10-27,629-41-2847,30.0,2069-07-18,checking
49,1991-03-08,606-72-3843,17.0,2031-06-11,cd
50,2014-08-01,504-92-4394,70.0,2079-06-01,checking
51,2013-10-23,417-72-8204,71.0,2072-02-03,checking
52,1961-06-14,798-28-3750,18.0,2030-08-25,cd
53,1992-03-04,609-55-6182,92.0,2037-10-30,savings
54,1986-01-12,044-41-3950,43.0,2055-08-11,cd
55,2022-12-04,241-35-1357,83.0,2062-07-17,cd
56,1991-05-12,159-01-0501,49.0,2047-06-10,savings
57,1950-11-04,875-69-4807,41.0,1965-06-24,savings
58,1986-09-01,850-08-6443,93.0,2050-10-12,cd
59,1989-05-04,430-47-1200,46.0,2002-06-01,savings
60,1964-07-08,427-64-5963,21.0,2002-02-08,cd
61,1953-02-26,727-92-2280,73.0,2018-06-01,savings
62,2013-11-20,439-42-5236,89.0,2077-11-08,cd
63,1973-03-08,920-15-9370,96.0,1984-06-20,checking
64,1964-06-30,941-66-8022,91.0,1966-07-06,savings
65,1987-12-19,391-44-3877,73.0,2061-07-15,savings
66,1987-06-19,641-87-5581,28.0,1999-09-05,cd
67,1998-03-02,664-20-7004,81.0,2048-06-02,cd
68,1956-10-28,507-34-7567,58.0,1988-03-19,checking
69,1993-09-01,161-31-6328,0.0,2031-04-24,cd
70,1990-01-13,697-90-1826,86.0,2013-01-01,savings
71,1987-03-20,035-71-4587,63.0,2023-05-27,cd
72,2019-01-12,496-32-4563,16.0,2023-08-10,checking
73,1952-02-10,716-60-4633,36.0,2026-09-30,savings
74,1993-06-19,531-80-2775,94.0,1995-02-15,cd
75,1972-09-08,124-77-3173,24.0,2023-05-08,checking
76,1981-06-17,420-94-2131,63.0,2015-10-11,cd
77,1966-06-01,493-63-4734,67.0,2030-06-05,savings
78,2001-04-11,246-18-3060,51.0,2071-09-26,cd
79,1987-05-07,693-19-3653,8.0,2036-12-10,savings
80,1958-06-19,296-78-5437,56.0,2031-12-10,checking
81,1985-04-22,601-17-7667,91.0,2028-08-29,checking
82,1960-09-17,675-09-7123,93.0,1982-01-13,savings
83,1998-10-14,142-68-9063,87.0,2052-12-08,checking
84,1968-01-21,297-06-9961,32.0,1985-02-26,cd
85,2009-07-22,998-90-1833,19.0,2076-05-15,checking
86,2017-10-12,847-95-0121,72.0,2091-07-27,savings
87,2023-10-12,529-52-9751,71.0,2092-09-10,cd
88,2014-06-06,874-20-9155,87.0,2029-01-21,checking
89,1971-11-24,730-46-8142,13.0,1978-03-16,cd
90,2005-05-30,953-72-1562,58.0,2038-01-06,checking
91,1971-12-29,217-27-4290,81.0,1981-05-09,checking
92,1992-10-07,499-85-8284,55.0,1995-11-12,savings
93,1972-04-06,496-05-1971,64.0,2011-05-13,checking
94,1963-04-08,968-60-7519,75.0,2013-08-10,savings
95,2023-04-11,071-41-6585,92.0,2100-05-24,checking
96,2008-11-12,454-42-1898,36.0,2084-12-20,cd
97,1979-09-04,991-03-0811,25.0,2007-08-21,checking
98,1959-09-04,050-31-1597,32.0,2025-06-17,cd
,,,,,
